IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
45.87.102.122,444,443,true,HKG,Asia Pacific,HK,Hong Kong,271,0.51
103.44.255.81,443,443,true,HKG,Asia Pacific,HK,Hong Kong,66,0.50
34.92.85.233,8443,8443,true,HKG,Asia Pacific,HK,Hong Kong,93,0.45
47.76.71.54,443,443,true,HKG,Asia Pacific,HK,Hong Kong,107,0.26
175.41.143.167,8080,80,false,HKG,Asia Pacific,HK,Hong Kong,122,0.19
47.57.13.107,443,443,true,HKG,Asia Pacific,HK,Hong Kong,94,0.16
206.237.1.59,11563,443,true,HKG,Asia Pacific,HK,Hong Kong,99,0.16
83.229.125.27,51292,443,true,HKG,Asia Pacific,HK,Hong Kong,94,0.16
154.12.60.53,4445,443,true,HKG,Asia Pacific,HK,Hong Kong,92,0.16
5.180.98.146,22827,443,true,HKG,Asia Pacific,HK,Hong Kong,96,0.15
47.83.18.47,443,443,true,HKG,Asia Pacific,HK,Hong Kong,94,0.13
154.88.25.179,28985,443,true,HKG,Asia Pacific,HK,Hong Kong,92,0.12
202.81.230.107,54573,443,true,HKG,Asia Pacific,HK,Hong Kong,173,0.12
128.1.132.82,443,443,true,SJC,North America,US,San Jose,81,0.07
202.181.27.218,14526,443,true,HKG,Asia Pacific,HK,Hong Kong,94,0.05
23.26.217.56,20443,443,true,HKG,Asia Pacific,HK,Hong Kong,266,0.01
58.176.95.46,443,443,true,HKG,Asia Pacific,HK,Hong Kong,93,0.00
213.130.140.175,34567,80,false,HKG,Asia Pacific,HK,Hong Kong,98,0.00
165.154.43.92,35184,443,true,HKG,Asia Pacific,HK,Hong Kong,81,0.00
